shop_id,recency,frequency,monetary,avg_price,std_price,min_price,max_price,unique_items,unique_categories,customer_lifetime,cluster
0,79.75,9857.0,5553869.0,563.4441513645125,1243.7930252422896,13.0,15653.0,3600,48,56,0
1,79.75,5678.0,2926161.0,515.3506516379007,1202.199687626589,13.0,15653.0,2523,41,56,0
2,1.0,25991.0,35104442.43194311,1350.638391441003,2222.028195785505,0.1,34990.0,4849,59,1033,1
3,1.0,25532.0,26472615.079570346,1036.840634481057,1828.5607562342082,0.1,42990.0,5261,58,1032,1
4,1.0,38242.0,35335390.7161307,923.9943181876132,1878.2125941945128,0.1,34990.0,7309,61,1032,1
5,1.0,38179.0,33260876.502807744,871.182495686313,1752.314547053543,0.1,36990.0,7084,60,995,1
6,1.0,82663.0,74558314.78033847,901.9551042224268,1769.1470189313952,0.07,34990.0,11856,63,1032,1
7,1.0,58076.0,56077104.69316961,965.581388063393,1895.0562794728637,0.1,35990.0,8246,60,1033,1
8,79.75,3412.0,2226272.705,652.4832077960141,947.2975917199171,14.0,15990.0,1909,43,90,0
9,18.0,3751.0,4714302.740834122,1256.8122476230662,1421.344100139771,90.0,27499.0,1404,38,741,0
10,1.0,21397.0,16442844.23,768.464935738655,1642.1262482144923,3.0,32382.0,6002,57,1032,1
11,79.75,499.0,479842.46,961.6081362725452,2405.7865849901164,3.0,23940.0,371,35,27,0
12,2.0,34694.0,50805586.28515201,1464.3911421327034,3142.0644280652255,0.908713692946,307980.0,7382,64,1030,1
13,79.75,17824.0,5333601.48,299.2370668761221,672.8628780737041,1.83,32437.0,4865,39,585,0
14,1.0,36979.0,36006448.213404775,973.6998894887578,1827.7631713562332,0.1,36990.0,7451,60,1033,1
15,1.0,59511.0,55597585.54840833,934.2404857657967,1803.2359600656484,0.1,34990.0,8269,59,1033,1
16,1.0,52734.0,48712980.14163859,923.7490071232713,1776.6220462754263,0.1,34990.0,9375,63,1032,1
17,79.75,22950.0,23521670.12348807,1024.9093735724648,2040.3005502676504,0.1,28990.0,5158,55,591,0
18,1.0,53227.0,62516425.59427721,1174.5246884903754,2115.564312226301,0.1,41990.0,9073,62,1033,1
19,1.0,63911.0,54302000.47344712,849.6503023493158,1648.6277723311164,0.1,35490.0,9558,60,1033,1
20,28.0,1792.0,2389265.927055681,1333.2957182230364,919.5318866681641,119.0,11599.0,746,12,367,0
21,1.0,58133.0,51479368.96214657,885.5446813711071,1699.3896365316232,0.1,34990.0,10145,61,1032,1
22,1.0,45434.0,42245136.86403321,929.8132866142802,1723.7719845836248,0.1,42990.0,7951,61,1032,1
23,79.75,6963.0,5023141.846071438,721.4048321228548,1090.5424207975236,14.0,15990.0,2949,44,116,0
24,1.0,53032.0,56288283.55432373,1061.40223929559,1862.3333218263062,0.1,32990.0,8087,58,1032,1
25,1.0,114771.875,113528165.07980604,835.8635709548412,1528.3278213829021,0.1,50999.0,15367,65,1032,1
26,1.0,53910.0,48516115.78385059,899.946499422196,1656.262857402746,0.1,33490.0,9289,61,1032,1
27,32.0,105366.0,105648893.10936056,1002.6848614293089,1820.355068973684,0.1,35490.0,10842,60,1002,1
28,1.0,114771.875,113528165.07980604,880.9054340807587,1587.6853520785803,0.1,40991.0,12572,60,1033,1
29,79.75,49225.0,45287705.20448403,920.0143261449269,1688.2387512158355,0.1,27990.0,7806,60,876,1
30,79.75,50860.0,38858922.9049069,764.0370213312407,1423.4030392271497,0.1,31990.0,9512,59,777,1
31,1.0,114771.875,113528165.07980604,724.6916189646711,1383.9861345892857,0.1,35991.0,14416,62,1032,1
32,79.75,7947.0,5098651.531581205,641.5819216787726,884.9564371543253,-1.0,15990.0,3299,47,182,0
33,79.75,5027.0,5594079.5202381,1112.8067476105232,2202.6807590963176,4.91666666667,27499.0,1900,47,238,0
34,1.0,5752.0,7695497.41993506,1337.8820271097113,2398.0762943045547,0.99,31990.0,1860,49,457,0
35,1.0,58445.0,56823122.36855405,972.24950583547,1862.9580194167845,0.1,33990.0,9108,62,1032,1
36,1.0,306.0,356819.0,1166.075163398693,2325.838697528724,5.0,28392.0,258,35,13,0
37,1.0,39638.0,37348676.88157125,942.244232341976,1906.4641267801178,0.1,32990.0,8405,63,1033,1
38,1.0,46013.0,53603251.976054706,1164.9588589323605,2110.068076408431,0.1,41990.0,7356,63,1033,1
